Main_Genre,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,studio,title,worldwide_gross,year
Action,Adventure,Drama,7.4,135,1,3,Walt Disney Pictures,Black Panther,700059566,2018
Action,Adventure,Sci-Fi,8.5,156,2,3,Walt Disney Pictures,Avengers: Infinity War,678815482,2018
Animation,Action,Adventure,7.8,118,3,2,Pixar,Incredibles 2,608581744,2018
Action,Adventure,Drama,6.2,129,4,3,Universal Pictures,Jurassic World: Fallen Kingdom,416769345,2018
Action,Comedy,NA,7.8,119,5,4,20th Century Fox,Deadpool 2,318491426,2018
Action,Adventure,Drama,7.9,147,6,3,Paramount Pictures,Mission: Impossible - Fallout,220159104,2018
Action,Comedy,NA,7.2,118,7,3,Walt Disney Pictures,Ant-Man and the Wasp,216648740,2018
Action,Adventure,Drama,7,135,8,3,Walt Disney Pictures,Solo: A Star Wars Story,213767512,2018
Action,Adventure,Drama,6.9,112,9,3,Columbia Pictures,Venom,213030843,2018
Music,Drama,NA,8.1,135,10,4,Warner Bros,A Star is Born ,199721727,2018
Action,Adventure,Drama,7.2,152,1,3,Walt Disney Pictures,Star Wars: The Last Jedi,620181382,2017
Music,Drama,NA,7.2,129,2,2,Walt Disney Pictures,Beauty and the Beast ,504014165,2017
Action,Adventure,Drama,7.5,141,3,3,Warner Bros,Wonder Woman,412563408,2017
Action,Adventure,Comedy,7,112,4,3,Sony Pictures,Jumanji: Welcome to the Jungle,404515480,2017
Action,Adventure,Comedy,7.7,137,5,3,Walt Disney Pictures,Guardians of the Galaxy Vol. 2,389813101,2017
Action,Adventure,Drama,7.5,133,6,3,Sony Pictures,Spider-Man: Homecoming,334201140,2017
Horror,Drama,Mystery,7.4,135,7,4,Warner Bros,It,327481748,2017
Action,Adventure,Drama,7.9,130,8,3,Walt Disney Pictures,Thor: Ragnarok,315058289,2017
Animation,Comedy,NA,6.3,90,9,2,Universal Pictures,Despicable Me 3,264624300,2017
Action,Adventure,Drama,6.5,110,10,3,Warner Bros,Justice League,229024295,2017
Action,Adventure,Drama,7.8,133,1,3,Walt Disney Pictures,Rogue One: A Star Wars Story,532177324,2016
Animation,Family,NA,7.3,100,2,2,Walt Disney Pictures,Finding Dory,486295561,2016
Action,Adventure,Sci-Fi,7.8,146,3,3,Walt Disney Pictures,Captain America: Civil War,408084349,2016
Animation,Comedy,NA,6.5,90,4,2,Universal Pictures,The Secret Life of Pets,368384330,2016
Action,Adventure,Family,7.4,111,5,2,Walt Disney Pictures,The Jungle Book ,364001123,2016
Action,Comedy,Adventure,8,103,6,4,20th Century Fox,Deadpool,363070709,2016
Animation,Action,Adventure,8,108,7,2,Walt Disney Pictures,Zootopia,341268248,2016
Action,Adventure,Sci-Fi,6.5,151,8,3,Warner Bros,Batman v Superman: Dawn of Justice,330360194,2016
Action,Adventure,NA,6.1,123,9,3,Warner Bros,Suicide Squad,325100054,2016
Animation,Music,Comedy,7.1,108,10,2,Universal Pictures,Sing,270395425,2016
Action,Adventure,Fantasy,8,136,1,3,Walt Disney Pictures,Star Wars: The Force Awakens,936662225,2015
Action,Adventure,Mystery,7,123,2,3,Universal Pictures,Jurassic World,652270625,2015
Action,Adventure,Sci-Fi,7.4,141,3,3,Walt Disney Pictures,Avengers: Age of Ultron,459005868,2015
Animation,Family,NA,8.2,94,4,2,Pixar,Inside Out,356461711,2015
Action,Adventure,Mystery,7.2,140,5,3,Universal Pictures,Furious 7,353007020,2015
Animation,Comedy,Family,6.4,91,6,2,Universal Pictures,Minions,336045770,2015
Action,Adventure,Fantasy,6.6,137,7,3,Lionsgate Films,The Hunger Games: Mockingjay - Part 2,281723902,2015
Sci-Fi,Fantasy,NA,8,164,8,3,20th Century Fox,The Martian,228433663,2015
Romance,Fantasy,NA,6.9,105,9,2,Walt Disney Pictures,Cinderella,201151353,2015
Action,Adventure,NA,6.8,150,10,3,Sony Pictures,Spectre,200074609,2015
Sci-Fi,Adventure,Action,5.8,165,1,3,Paramount Pictures,Transformers: Age of Extinction,1091404499,2014
Fantasy,Adventure,NA,7.5,144,2,3,Warner Bros,The Hobbit: The Battle of the Five Armies,955113783,2014
Sci-Fi,Adventure,Action,8.1,121,3,3,Walt Disney Pictures,Guardians of the Galaxy,774176600,2014
